Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Poland,POL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6641.085312,6950.797735,7344.120761,7438.603435,7593.559655,7864.518264,8261.227441,8554.693897,9084.949214,9731.769454,10139.11914,10419.21487,10755.65644,11291.90359,11466.41593,11571.61485,12024.60951,12560.05142,12936.57326,13599.81802,14408.38439,15053.23936,14774.9892,15850.29254,16704.9434
Peru,PER,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3248.184568,3242.238906,3279.355181,3255.590031,3392.994493,3497.357649,3635.157463,3828.852439,4083.204901,4397.050814,4764.07014,4782.549445,5142.013976,5421.333837,5701.603888,5977.182234,6056.033297,6180.118799,6337.580012,6400.037747,6530.422502,6550.447518,5754.310172,6446.89325,6554.960562
Portugal,PRT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17645.90583,18231.83976,18795.03115,19025.69569,19067.65543,18819.44374,19110.32084,19224.03465,19501.23301,19950.8441,19985.69833,19343.28005,19670.36107,19365.18165,18654.95753,18584.55405,18833.05183,19250.10654,19700.91,20441.4858,21057.61748,21617.41162,19802.22902,20835.10893,22112.74376
Romania,ROU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4461.584645,4451.762442,4567.240057,4873.093219,5246.170873,5407.855963,6005.916876,6325.221814,6873.661295,7480.581408,8314.233027,7921.220679,7657.543016,8042.904089,8234.305287,8287.250347,8661.122756,8976.955236,9286.596924,10106.01845,10778.44925,11252.88655,10898.92233,11617.99063,12279.56957
Russian Federation,RUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4515.509277,4819.380371,5323.666504,5618.955566,5910.171875,6370.453613,6856.678223,7323.385254,7949.896973,8640.40625,9093.700195,8381.868164,8755.120117,9124.474609,9475.69043,9621.517578,9520.948242,9313.021484,9313.975586,9473.1875,9739.908203,9958.469727,9714.383789,10301.66504,10078.90039
Serbia,SRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3299.259478,2999.168618,3193.259003,3418.78954,3640.275027,3808.094103,4161.595203,4404.959875,4648.19702,4967.619716,5270.958323,5147.568973,5206.086761,5354.200429,5343.578825,5524.967865,5462.734775,5588.979444,5805.898062,5959.521304,6261.5257,6567.908055,6552.084391,7113.575245,7353.61358
Singapore,SGP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31043.10818,32557.04699,34890.08114,33597.86908,34598.82675,36709.7965,39856.63562,41798.48808,44159.41018,46178.81395,44601.57993,43331.87466,48752.05154,50713.53264,51679.35272,53298.97286,54681.93365,55645.60686,56906.63258,59440.19971,61276.94659,61386.23615,59175.81104,67175.864,67359.78988
Slovak Republic,SVK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8818.210826,8799.885876,8914.598984,9221.521861,9640.865301,10177.72142,10717.17317,11425.90015,12395.75218,13734.45555,14487.70653,13679.08441,14584.26068,14954.57798,15126.0353,15205.39558,15600.36717,16390.88217,16687.98446,17151.65248,17818.23411,18240.72093,17617.04931,18513.08534,18875.70675
Slovenia,SVN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,14927.0345,15711.81638,16240.65689,16736.6666,17301.93381,17803.37798,18567.56221,19239.39991,20280.1519,21574.75344,22296.705,20428.16986,20612.58953,20746.98841,20157.00525,19922.47429,20453.83339,20890.16643,21541.17642,22563.75894,23483.52912,24125.39204,22928.76274,24744.8413,26066.69139
South Africa,ZAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4531.295987,4588.756028,4735.665532,4820.644339,4953.736447,5052.90994,5233.866277,5458.230166,5708.823086,5954.168048,6074.942672,5910.788246,6018.230754,6130.971367,6194.992759,6263.104334,6252.317977,6204.929901,6185.746047,6233.187108,6250.997544,6189.289245,5726.262775,5947.887199,6018.528067
Spain,ESP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21953.66752,22846.71775,23937.96855,24707.36707,25026.08647,25310.45639,25654.33655,26145.80858,26762.26726,27218.44926,27025.29494,25778.95647,25702.34684,25402.60507,24634.96209,24368.96824,24783.08295,25754.36103,26514.32481,27239.35244,27739.86477,28087.89792,24785.44671,26125.87167,27434.87991
Sweden,SWE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37737.46228,39309.597,41117.15243,41601.30768,42377.11964,43194.92617,44891.32321,45990.37433,47864.81086,49145.19583,48544.11589,46043.48094,48369.91004,49539.97261,48885.54842,49048.81875,49855.30101,51545.48361,51955.86107,52576.81028,52983.00686,53490.35182,51952.67313,54422.91813,55482.00072
Switzerland,CHE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,70510.02547,71341.34285,73749.9388,74439.4636,73824.38488,73254.95291,74718.68361,76282.98396,78893.80774,81254.17005,82481.06804,79585.52159,81315.42286,81874.33619,81964.88642,82479.92154,83394.37114,83806.4476,84611.09985,84967.58855,86756.60213,87123.66044,84434.77849,87339.75975,88464.02932
Thailand,THA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3283.480683,3395.260856,3511.440395,3599.095907,3786.338148,4023.813235,4241.902014,4385.280849,4568.556464,4780.303432,4826.577208,4758.933601,5082.253643,5091.958066,5425.685227,5537.742376,5561.697671,5708.794147,5878.753997,6099.198086,6336.239739,6453.894143,6048.100328,6127.589893,6278.173384
Turkiye,TUR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6427.288097,6124.721871,6454.572882,5993.829251,6291.666367,6566.828264,7112.492271,7648.304728,8074.335428,8377.149379,8344.55278,7842.576029,8390.82238,9207.513495,9506.966575,10138.79696,10430.4125,10851.92011,11022.4947,11694.88857,11938.74544,11935.38787,12072.39944,13341.55634,13990.74687
United States,USA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45715.69265,47360.53642,48746.04096,48726.58167,49095.3318,50036.23423,51485.20741,52789.73142,53738.09173,54299.61724,53854.16061,51996.1835,52963.46417,53394.86184,54213.45955,54830.78407,55675.38685,56762.72945,57292.53878,58207.57831,59607.39366,60698.0113,58451.60672,61829.84563,62866.71439
United Kingdom,GBR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,36798.62173,37781.58188,39187.58308,39879.20578,40413.92315,41482.46171,42214.35342,43044.21153,43652.09467,44423.83525,44007.54928,41705.93912,42385.86022,42504.89635,42821.76128,43310.02056,44367.853,45071.07432,45699.29696,46499.01355,47006.14293,47491.59456,42098.60293,45334.157,47232.27181
